date,discipline,budget_amount,actual_spend,cost_code
2024-01-08,Civil,820000,840000,CIV-001
2024-01-08,Mechanical,1050000,1090000,MEC-001
2024-01-08,Electrical,760000,800000,ELE-001
2024-01-08,Structural,680000,665000,STR-001
2024-01-08,Piping,540000,570000,PIP-001
2024-01-08,Instrumentation,350000,330000,INS-001
2024-01-09,Civil,820000,845000,CIV-001
2024-01-09,Mechanical,1050000,1095000,MEC-001
2024-01-09,Electrical,760000,805000,ELE-001
2024-01-09,Structural,680000,663000,STR-001
2024-01-09,Piping,540000,573000,PIP-001
2024-01-09,Instrumentation,350000,328000,INS-001
2024-01-10,Civil,820000,855000,CIV-001
2024-01-10,Mechanical,1050000,1110000,MEC-001
2024-01-10,Electrical,760000,810000,ELE-001
2024-01-10,Structural,680000,661000,STR-001
2024-01-10,Piping,540000,575000,PIP-001
2024-01-10,Instrumentation,350000,325000,INS-001
2024-01-11,Civil,820000,872000,CIV-001
2024-01-11,Mechanical,1050000,1125000,MEC-001
2024-01-11,Electrical,760000,815000,ELE-001
2024-01-11,Structural,680000,660000,STR-001
2024-01-11,Piping,540000,578000,PIP-001
2024-01-11,Instrumentation,350000,322000,INS-001
2024-01-12,Civil,820000,890000,CIV-001
2024-01-12,Mechanical,1050000,1140000,MEC-001
2024-01-12,Electrical,760000,820000,ELE-001
2024-01-12,Structural,680000,660000,STR-001
2024-01-12,Piping,540000,580000,PIP-001
2024-01-12,Instrumentation,350000,320000,INS-001
